City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
303,Ōdachō-Ōda,JP,84.97,few clouds,35.1833,132.5,Sky Hotel Oda
306,Port Hedland,AU,77.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
307,Barstow,US,81.59,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
317,Yatou,CN,80.58,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
318,Daru,PG,79.05,overcast clouds,-9.0763,143.2092,Daru Lodge
319,Şuraabad,AZ,75.85,clear sky,40.8192,49.4687,
321,Alibag,IN,80.67,light rain,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
322,Muroto-Misakicho,JP,82.96,few clouds,33.2833,134.15,Oota Ryokan
323,San Policarpo,PH,83.62,light rain,12.1791,125.5072,Agapita M. Nicart
325,Calabaca,PH,86.54,moderate rain,14.3001,122.4336,Costa Pacifico Beach Resort
326,Hobyo,SO,80.85,broken clouds,5.3505,48.5268,Iftin hotel hobyo
330,Davila,PH,87.78,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
335,Meulaboh,ID,86.83,scattered clouds,4.1363,96.1285,Kost Pria
338,Galveston,US,83.97,scattered clouds,29.3669,-94.9669,Crystal Suites
339,Khed,IN,80.69,overcast clouds,17.7167,73.3833,Swagat Lodge
340,Bengkulu,ID,83.93,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
341,Birao,CF,76.78,scattered clouds,10.2849,22.7882,
343,Manavālakurichi,IN,81.48,overcast clouds,8.1333,77.3,Jebinrio home
344,Sola,VU,81.18,broken clouds,-13.8833,167.55,Leumerus Bungalows
347,Faya,SA,77.52,overcast clouds,18.3851,42.4509,املاك خالد الشعشوع
359,Gondanglegi,ID,84.43,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
363,Kutum,SD,76.55,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
364,Alexandria,EG,80.11,clear sky,31.2156,29.9553,Royal Crown Hotel
365,Fairbanks,US,75.22,smoke,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
366,Dayong,CN,83.48,overcast clouds,25.0209,118.2898,Haiyue Express Hotel
367,Naze,JP,83.32,broken clouds,28.3667,129.4833,Shishime Hotel
371,Araouane,ML,89.69,clear sky,18.9048,-3.5265,
373,Bonfim,BR,76.48,overcast clouds,3.0833,-59.95,
375,Tabuk,PH,87.13,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
376,Ambon City,ID,82.54,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
377,Santa Rosa,PH,87.78,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
379,Kendari,ID,79.97,scattered clouds,-3.945,122.4989,Hotel Wixel
381,Sibolga,ID,86.23,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
385,Clovis,US,77.85,scattered clouds,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
392,Avera,US,78.85,broken clouds,33.194,-82.5271,
396,Kralendijk,BQ,78.78,overcast clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
399,Dutse,NG,76.33,broken clouds,11.7594,9.3392,Central Mosque Galamawa
401,Mitsamiouli,KM,77.88,clear sky,-11.3847,43.2844,Foyer ADM
403,Robertsport,LR,75.69,light rain,6.7533,-11.3686,Kwepunha Retreat
405,Kuandian,CN,76.21,overcast clouds,40.7286,124.7847,Hi Inn Dandong Kuandian Ji Xian Garden
411,Freeport,US,76.37,overcast clouds,40.6576,-73.5832,The Freeport Inn and Marina
412,Tevaitoa,PF,79.66,clear sky,-16.7833,-151.5,Hôtel Raiatea Lodge
413,Japura,ID,83.98,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
415,Shingū,JP,85.05,scattered clouds,33.7333,135.9833,Shingu UI Hotel
418,Linxia Chengguanzhen,CN,87.28,clear sky,35.6003,103.2064,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
419,Goundam,ML,86.65,broken clouds,16.4145,-3.6708,
422,Asău,RO,76.28,broken clouds,46.4333,26.4,Casa Mika Ciobanus
424,Vanimo,PG,82.74,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
427,Kloulklubed,PW,81.1,broken clouds,7.0419,134.2556,Storyboard Beach Resort
428,Bānswāra,IN,87.87,broken clouds,23.55,74.45,Hotel Relax Inn
434,Gannan,CN,81.64,moderate rain,47.9147,123.5031,Gannan Supply and Marketing Cooperatives Hostel
435,Port Blair,IN,83.8,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
436,Nālūt,LY,81.91,clear sky,30.3333,10.85,
442,São Félix Do Xingu,BR,75.2,broken clouds,-6.6447,-51.995,Rio Xingu Camping
444,Atar,MR,89.89,few clouds,20.5169,-13.0499,Oumou Elghoura
448,Ust-Tsilma,RU,79.68,broken clouds,65.441,52.1498,U Praskov'i
449,Changji,CN,75.99,few clouds,44.0167,87.3167,Lvye Holiday Resort
451,West Bay,KY,82.0,scattered clouds,19.3667,-81.4167,Calypso Cove
457,Umm Kaddadah,SD,83.98,clear sky,13.6017,26.6876,
464,Saint-Estève,FR,77.72,broken clouds,42.7131,2.843,Hôtel urban by balladins Perpignan
468,Hasaki,JP,77.4,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
471,Poum,NC,76.82,moderate rain,-20.2333,164.0167,
472,Cuiluan,CN,86.99,scattered clouds,47.72,128.648,Shuncheng Hotel
474,Hambantota,LK,86.32,overcast clouds,6.1241,81.1185,Bungalow 63
478,San Angelo,US,86.54,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
479,Faanui,PF,79.52,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
