City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
91,Dikson,RU,73.5069,80.5464,34.7,96,97,10.07,overcast clouds,2022-07-06 06:15:36
92,North Platte,US,41.1239,-100.7654,71.49,93,75,17.0,moderate rain,2022-07-06 06:15:36
93,Schwäbisch Hall,DE,49.1113,9.7391,65.52,74,0,4.61,clear sky,2022-07-06 06:15:37
94,Norman Wells,CA,65.282,-126.8329,71.64,49,75,5.75,broken clouds,2022-07-06 06:15:37
95,Atuona,PF,-9.8,-139.0333,77.7,67,49,25.48,scattered clouds,2022-07-06 06:15:38
96,Nhulunbuy,AU,-12.2333,136.7667,75.81,60,40,14.97,scattered clouds,2022-07-06 06:15:38
97,Nicoya,CR,10.1483,-85.452,73.98,96,100,1.68,overcast clouds,2022-07-06 06:15:39
98,Goderich,CA,43.7501,-81.7165,63.91,100,43,2.3,scattered clouds,2022-07-06 06:15:39
99,Padang,ID,-0.9492,100.3543,84.6,73,98,3.27,light rain,2022-07-06 06:15:40
100,Ayr,GB,55.4627,-4.6339,58.32,94,75,14.97,broken clouds,2022-07-06 06:15:40
101,Lompoc,US,34.6391,-120.4579,62.02,90,100,20.0,fog,2022-07-06 06:11:26
102,Mahébourg,MU,-20.4081,57.7,71.89,64,40,11.5,scattered clouds,2022-07-06 06:15:41
103,George Town,MY,5.4112,100.3354,90.9,68,20,6.91,few clouds,2022-07-06 06:13:08
104,Ozinki,RU,51.1786,49.6769,67.12,55,1,10.36,clear sky,2022-07-06 06:15:41
105,Tezu,IN,27.9167,96.1667,95.68,56,22,2.75,few clouds,2022-07-06 06:15:42
106,Tura,IN,25.5198,90.2201,86.11,68,92,6.82,moderate rain,2022-07-06 06:15:42
107,Saint-Augustin,CA,51.226,-58.6502,49.51,76,93,7.11,overcast clouds,2022-07-06 06:15:43
108,Armidale,AU,-30.5167,151.65,50.65,99,100,2.98,overcast clouds,2022-07-06 06:15:43
109,Mehamn,NO,71.0357,27.8492,66.15,55,20,18.41,few clouds,2022-07-06 06:15:44
110,Eenhana,NA,-17.4667,16.3333,54.32,52,1,6.26,clear sky,2022-07-06 06:15:44
111,Callaway,US,30.153,-85.5699,80.91,89,20,4.61,few clouds,2022-07-06 06:15:45
112,São Lourenço,BR,-22.1164,-45.0544,50.81,77,0,1.36,clear sky,2022-07-06 06:13:58
113,Ribeira Grande,PT,38.5167,-28.7,64.8,82,75,8.05,broken clouds,2022-07-06 06:15:46
114,Salalah,OM,17.0151,54.0924,77.09,100,100,6.91,mist,2022-07-06 06:15:46
115,Kenai,US,60.5544,-151.2583,62.69,85,0,14.97,clear sky,2022-07-06 06:15:00
116,Marathon,US,44.9,-89.7668,71.13,83,75,13.8,broken clouds,2022-07-06 06:15:47
117,Caucaia,BR,-3.7361,-38.6531,75.15,77,40,4.61,scattered clouds,2022-07-06 06:15:25
118,Kigoma,TZ,-4.8769,29.6267,73.62,61,54,3.74,broken clouds,2022-07-06 06:15:48
119,Vangaindrano,MG,-23.35,47.6,69.57,72,22,4.07,few clouds,2022-07-06 06:15:48
120,Tasiilaq,GL,65.6145,-37.6368,35.76,85,69,2.93,broken clouds,2022-07-06 06:15:49
121,Navrongo,GH,10.8956,-1.0921,75.09,86,48,5.88,scattered clouds,2022-07-06 06:15:49
122,Aras,ES,42.5617,-2.356,63.01,68,75,11.5,broken clouds,2022-07-06 06:15:50
123,Bathsheba,BB,13.2167,-59.5167,80.29,80,99,18.39,overcast clouds,2022-07-06 06:15:50
124,Husavik,IS,66.0449,-17.3389,42.91,85,81,3.62,broken clouds,2022-07-06 06:15:51
125,Dukat,RU,62.55,155.55,70.54,57,100,3.29,overcast clouds,2022-07-06 06:15:51
126,Praia Da Vitória,PT,38.7333,-27.0667,64.76,88,75,7.09,light intensity drizzle,2022-07-06 06:15:52
127,Nemours,FR,48.2751,2.6908,61.16,65,0,7.23,clear sky,2022-07-06 06:15:52
128,Kabare,CD,-2.4683,28.8242,64.04,70,59,1.77,broken clouds,2022-07-06 06:15:53
129,Cayenne,GF,4.9333,-52.3333,78.1,1,100,0.0,overcast clouds,2022-07-06 06:15:53
130,Bilma,NE,18.6853,12.9164,88.56,18,25,7.72,scattered clouds,2022-07-06 06:15:53
131,Ardakān,IR,32.31,54.0175,86.29,19,13,12.3,few clouds,2022-07-06 06:15:54
132,Cabo San Lucas,MX,22.8909,-109.9124,79.9,67,2,1.01,clear sky,2022-07-06 06:11:05
133,Sitka,US,57.0531,-135.33,55.29,88,100,0.0,overcast clouds,2022-07-06 06:15:55
134,Kavieng,PG,-2.5744,150.7967,84.29,73,100,13.04,overcast clouds,2022-07-06 06:15:55
135,Pinega,RU,64.7001,43.3936,73.02,64,93,6.82,overcast clouds,2022-07-06 06:15:55
136,Ramos Arizpe,MX,25.55,-100.9667,73.96,51,6,3.49,clear sky,2022-07-06 06:15:56
137,Eureka,US,40.8021,-124.1637,62.67,82,96,2.39,overcast clouds,2022-07-06 06:14:18
138,San Patricio,US,28.017,-97.5169,85.89,84,55,9.66,broken clouds,2022-07-06 06:15:57
139,Carnarvon,AU,-24.8667,113.6333,73.54,25,0,4.76,clear sky,2022-07-06 06:15:57
140,Bubaque,GW,11.2833,-15.8333,80.47,75,95,10.33,overcast clouds,2022-07-06 06:15:57
141,Pisco,PE,-13.7,-76.2167,57.25,88,40,3.44,mist,2022-07-06 06:14:45
142,Port Hardy,CA,50.6996,-127.4199,53.6,90,89,6.67,overcast clouds,2022-07-06 06:15:13
143,Jambi City,ID,-1.6,103.6167,90.59,56,97,3.67,overcast clouds,2022-07-06 06:15:58
144,Cabedelo,BR,-6.9811,-34.8339,72.27,82,5,12.62,clear sky,2022-07-06 06:15:59
145,Ushumun,RU,52.7833,126.5333,86.27,49,98,17.07,overcast clouds,2022-07-06 06:15:59
146,Kudahuvadhoo,MV,2.6708,72.8944,83.55,74,86,6.93,light rain,2022-07-06 06:16:00
147,Mahon,ES,39.8885,4.2658,79.36,61,0,20.71,clear sky,2022-07-06 06:16:00
148,Kamaishi,JP,39.2667,141.8833,76.03,81,33,10.47,scattered clouds,2022-07-06 06:16:01
149,Pekan,MY,3.4836,103.3996,80.71,59,86,5.06,overcast clouds,2022-07-06 06:16:01
150,Boussé,BF,12.6606,-1.8922,78.53,66,81,10.2,broken clouds,2022-07-06 06:16:02
151,Belaya Gora,RU,68.5333,146.4167,59.05,31,100,8.05,overcast clouds,2022-07-06 06:12:22
152,Denpasar,ID,-8.65,115.2167,82.06,74,20,20.71,few clouds,2022-07-06 06:16:02
153,Karatau,KZ,43.1667,70.4667,84.02,19,0,1.9,clear sky,2022-07-06 06:16:03
154,Tiksi,RU,71.6872,128.8694,44.47,70,38,9.35,scattered clouds,2022-07-06 06:16:03
155,Saint-Philippe,RE,-21.3585,55.7679,74.21,71,73,10.76,broken clouds,2022-07-06 06:16:04
156,Tiznit Province,MA,29.5833,-9.5,71.01,47,2,1.5,clear sky,2022-07-06 06:16:04
157,Castro,BR,-24.7911,-50.0119,53.1,77,100,2.53,overcast clouds,2022-07-06 06:16:05
158,Lamu,KE,-2.2717,40.902,78.15,73,93,16.84,light rain,2022-07-06 06:16:05
159,Khor,RU,47.8861,134.9464,85.48,67,4,4.25,clear sky,2022-07-06 06:15:07
160,Ust'-Uda,RU,54.1742,103.0304,80.02,35,0,2.04,clear sky,2022-07-06 06:16:06
161,Colwyn Bay,GB,53.2948,-3.7267,59.74,3,100,5.99,overcast clouds,2022-07-06 06:16:06
162,Bambous Virieux,MU,-20.3428,57.7575,71.85,64,40,11.5,scattered clouds,2022-07-06 06:16:07
163,Kanye,BW,-24.9667,25.3327,52.59,61,1,2.17,clear sky,2022-07-06 06:16:07
164,Vardø,NO,70.3705,31.1107,62.58,77,0,14.97,clear sky,2022-07-06 06:16:08
165,Ancud,CL,-41.8697,-73.8203,42.22,78,100,20.94,light rain,2022-07-06 06:16:08
166,Sioux Lookout,CA,50.1001,-91.917,52.09,76,2,4.18,clear sky,2022-07-06 06:11:45
167,Sabang,ID,5.8933,95.3214,83.89,73,71,19.89,broken clouds,2022-07-06 06:16:09
168,Provideniya,RU,64.3833,-173.3,47.23,86,100,4.45,overcast clouds,2022-07-06 06:16:09
169,Banda Aceh,ID,5.5577,95.3222,88.43,59,49,15.23,scattered clouds,2022-07-06 06:16:10
170,Flinders,AU,-34.5833,150.8552,60.19,89,100,1.99,overcast clouds,2022-07-06 06:16:10
171,Rongcheng,CN,30.634,117.8517,91.26,66,76,10.71,broken clouds,2022-07-06 06:16:11
172,Wairoa,NZ,-39.0333,177.3667,52.56,85,100,4.76,overcast clouds,2022-07-06 06:16:11
173,Bagotville,AU,-28.9833,153.4167,66.85,92,93,6.46,overcast clouds,2022-07-06 06:16:12
174,Vigrestad,NO,58.5667,5.7,56.88,72,100,12.82,overcast clouds,2022-07-06 06:16:12
175,Miran Shah,PK,33.0086,70.0697,94.14,42,86,12.01,overcast clouds,2022-07-06 06:16:13
176,Wyndham,US,37.6985,-77.6125,75.94,87,0,4.61,clear sky,2022-07-06 06:16:13
177,Marfino,RU,55.7028,37.3822,77.16,64,0,2.24,clear sky,2022-07-06 06:16:13
178,Varnavino,RU,57.4035,45.0916,73.29,53,60,6.31,broken clouds,2022-07-06 06:16:14
